Knowledge_ID,Knowledge_Name
KN_1,"Knowledge and experience working with social media (Instagram, TikTok, Facebook, Youtube)"
KN_2,PMP / PRINCE II Certification
KN_3,Administration and Management
KN_4,Customer and Personal Service
KN_5,Administrative 
KN_6,Economics and Accounting
KN_7,Mathematics 
KN_8,Personnel and Human Resources
KN_9,Law and Government
KN_10,Knowledge of Transportation
KN_11,Knowledge of Sales And Marketing
KN_12,Knowledge of Media Production
KN_13,Knowledge of Content Creative
KN_14,Knowledge of Computers and Electronic
KN_15,Knowledge of Human Behavior and Performance
KN_16,Basic Knowledge of Microsoft Office
