Soft_Skill_ID,Soft_Skill_Name
SS_1,Communication Skills
SS_2,Written and Verbal Communication Skills
SS_3,Solid Organizational Skills
SS_4,Knowledge of Google Suite
SS_5,Project Management Skill
SS_6,Relationship Building Skill
SS_7,Critical Thinking Skill
SS_8,Reading Comprehension Skill
SS_9,Monitoring Skill
SS_10,Complex Problem Solving
SS_11,Speaking Skill
SS_12,Service Orientation
SS_13,Data Analytical Skill
SS_14,Leadership Skill
SS_15,Negotiation Skill
SS_16,Presentation Skill
SS_17,Coordination Skill
SS_18,Judgment and Decision Making
SS_19,Time Management Skill
SS_20,Group Management Skill
SS_21,Social Perceptiveness
